,job_title,company,job_description
10,"Manager, Management Information System",East Asia Institute of Management,"['Migrate the in-house developed Institute-wide applications (School Enterprise Management System - SEMS) to a cloud-based system;'
 'Oversee the overall effectiveness and efficiency of IT Network services and operations, such as data centre network, LAN, WAN, Wi-Fi, Firewalls & Intrusion Preventive Systems etc.'
 'Lead the IT Network & software development team in developing & maintaining a timely, high quality and cost effective solutions to meet daily operations.'
 'Establish and implement administrative guidelines and procedures to ensure that all software developments are documented.'
 'Ensure that the institute’s application software SEMS and Application portals are relevant and updated to meet users’ requirements.'
 'Develop Key Performance Indicators (KPI) and monthly measurements. Improve KPIs on an ongoing basis with root cause / corrective analysis.'
 'At least 5 years’ experience in web-based programming in LINUX (preferably Ubuntu) OS environment'
 'Good practical knowledge of Apache, MySQL, PHP.'
 'Experience with private and public Cloud (Azure/ AWS/ Alibaba Cloud), outsourcing experience, servers, end-user computing technologies, administration, design and operations.'
 'Excellent working knowledge of the following technology protocols and platforms: TCP/IP, Radius, TACACS, OSPF, BGP, MPLS, LDAP, DNS, DHCP, routing & switching, workstations, operating systems, and applications.'
 'Degree/Diploma in Computer Science or Computer Studies'
 'Good communication skills and a team player']"
11,Research Associate (Computer Science/Information Systems) #SGUnitedJobs #RIE,Nanyang Technological University,[]
12,IT Systems Specialist,BGC Group Pte. Ltd.,"['Serve as the initial contact for reporting technical issues, and answering questions regarding upgrades, installations, and other software / hardware / network issues.'
 'Accurately diagnose client technical issues; gather the necessary information; and perform standard, preliminary research using all relevant available resources.'
 'Effectively implement the steps found in available resources by following the instructions and using a variety of remote access, user admin, and related tools to resolve issues.'
 'Clearly and thoroughly document requests for assistance in our ticket management system, and track incidents through to resolution/escalation (per client guidelines).'
 'Escalate unresolved issues to next level support or respecting team leads Identify potential outages and other problems (via information gathering, ticket trends, etc.) and communicate the information to Team Leads in a timely manner.'
 'Daily management of technology assets such as laptops, desktops, printers, and tablets using our centralized asset management system.'
 'Provide daily support for our collaboration tools (Teams and SharePoint) Assist with on boarding / off boarding employees, including provisioning hardware, and ensuring processes are documented accordingly to ensure compliance with regulatory requirements.'
 'Additional responsibilities as assigned.'
 'Tertiary education (Degree or Diploma) in IT or relevant field is preferred.'
 'Manage and maintain key infrastructure and systems, to handle Level 1 and 2 technical tasks.'
 'Understand and be able to troubleshoot the Windows Operating Systems, Windows 10 and Apple OS X Operating Systems.'
 'Managing users, groups, and computer objects in Windows Server Active Directory / Ad Manager Plus.'
 'Familiar with end point protection technologies (Trend Micro) and basic incident response to protect and preserve data at risk.'
 'Managing user mailboxes and distribution lists.'
 'Working knowledge of Microsoft Office 365 Suite - Office, Teams, SharePoint, Apple IOS devices (Minimal) and VPN Clients (Palo Alto Global Protect).'
 'Basic understanding of managing Windows print servers, Disk Encryption (Sophos Safeguard), SSO / MFA experience (OKTA).'
 'Managing user accounts Working knowledge of MDM (Mobile device Management) using Trend Micro Knowledge of ScheduALL and Crystal Report customization will be advantageous.'
 'Knowledge of PC hardware, software, and networking protocols is essential.'
 'Knowledge of basic setup of Cisco equipment (VoIP Phones).'
 'Knowledge of TCP / IP and IP addressing and basic network troubleshooting.'
 'Familiar and good at documenting standard / applications operating procedures.'
 'Handle asset management, maintain inventory and liaise with vendors.'
 'Ability to communicate effectively both orally and in writing.'
 'Ability to quickly identify problems and implement solutions with minimal downtime.'
 'Independent and team worker, able to work under pressure and willing to learn.'
 'Good interpersonal and communications skills to interact effectively at all levels.'
 'Professional qualification in Microsoft Certified or CCNA is preferred.']"
13,"Assistant Manager, Information Technology (Microsoft 365 System Administration & Desktop Support Focus)",Lee Kim Tah (Pte) Ltd,"['Completed or close to completing relevant Microsoft certifications '
 'Diploma or degree in Information Technology, Computer Studies or a related field '
 ""At least 5 years' work experience in IT/IT support with minimum 3 years in a Microsoft 365 Engineering/Admin role ""
 'Knowledge and experience in administering and supporting Microsoft Windows 10'
 'Knowledge and experience in admiand supporting Microsoft 365, Exchange Online, Teams and other Office 365 tools '
 'Knowledge and experience in administering and supporting SharePoint Online '
 'Knowledge and experience in administering and supporting Microsoft Dynamics 365 and Business Central '
 'Strong team player with good oral and written communication and interpersonal skills '
 ""Manage and monitor desktop and mobile computing devices, computer networks, messaging, telephony, security and other aspects of the Group's IT infrastructure.""
 'Install and configure computer hardware and software.'
 'Champion the adoption of Microsoft 365 services to all end users.'
 'Support the ongoing implementation, operation and expansion of cloud-based solutions and applications (eg Microsoft Office 365 applications, SharePoint, Teams, OneDrive) and the migration of existing server-based applications to the cloud.'
 'Maintain familiarity with Microsoft 365 / Office 365 tools and train end-users on their effective use for productivity and collaboration.'
 'Administer Microsoft 365 and other software licenses.'
 'Deploy, manage and maintain backup and recovery across the Group.'
 'Tracking and escalation of incidents with Microsoft and Microsoft Partner/Solution Provider technical support.'
 'Work with IT vendors and resellers on projects and contracts renewal.'
 'Propose new / enhanced IT solutions to address Group and user needs.'
 'Provide technical support across the Group on all IT related issues.']"
14,Human Resources Information Systems (HRIS) Manager,Resorts World at Sentosa Pte Ltd,"['Execute and implement key HRIS projects.'
 'Provide first level support for various end users, and to resolve any HR IT systems related issues on both hardware and software platforms.'
 'Manage HR IT system projects and enhancements to achieve productivity gains, and improve efficiencies and employee experience.'
 'Collaborate with relevant departments to address HRIS issues and drive HRIS projects.'
 'Manage external vendor in HR IT projects and enhancements.'
 'Ensure HRIS projects are aligned with the HR strategy and business requirements including process design, functional requirement, data management, testing and production operations.'
 'Work closely with HR leadership team and stakeholders to design, improve and test system integrations.'
 'Optimize the implementation of technical processes to ensure the integrity of accurate data and reporting.'
 'Plan and manage change activities in deploying HRIS solutions.'
 'Plan and run HRIS governance operations including data quality validation, data administration, conduct audits, reporting, security and user roles management.'
 'Participate in progressive HR or cross-functional improvement projects.'
 'Bachelor degree in Computer Science or any related discipline with at least 5 years of experience as an HRIS professional. Those with a relevant diploma and commensurate experience may also apply.'
 'In-depth knowledge on HRIS systems, especially in PeopleSoft HCM 9.2 with strong functional and technical skills in Core HR, Recruitment, Payroll, Attendance and Performance Management.'
 'Must have proven project management full life cycle experiences.'
 'Candidates with HR Change Management experience would be advantageous'
 'Possess good experience and exposure in client facing and implementation roles.'
 'Able to work under pressure in a fast-paced environment.']"
15,"Senior Instructor (5-year contract), School of Computing and Information Systems",Singapore Management University,"['Support one or more IS core curriculum courses which includes:\n'
 'The design of course content including the assignments and labs.'
 'Out-of-class support for technology assignments and projects, labs, and course-related subject matter.'
 'Support for in-class delivery of labs.'
 'Deliver enrichment workshops to undergraduate students to strengthen or supplement IT skills.'
 'Develop e-learning materials.'
 'Re-design and improve on the curriculum for the next semester with faculty.'
 'Liaise with industry companies for IS Application projects.'
 'Manage SCIS events.'
 'Provide guidance to students working on an internship or IS Application Project.'
 'Handle a “special project” related to his/her specialization.'
 'Bachelor degree in a computing discipline (Computer Science, Information Systems, Computer Engineering, Software Engineering or Information Technology) is required.'
 'A Master degree in a computing discipline is a plus.'
 'Strong industry-based software technology skills and experiences.'
 'Prior experience with large-scale application projects in a business setting.']"
16,"Research Fellow, Department of Information Systems and Analytics",NATIONAL UNIVERSITY OF SINGAPORE,"['3D computer vision' 'Deep learning' 'Machine learning'
 'A PhD degree in a relevant area;'
 'Excellent programming ability in Python/C/C++'
 'Excellent knowledge in \xa0deep learning frameworks, e.g., PyTorch, Tensorflow, Nengo'
 'Good written and verbal communication skills in English'
 'Familiarity with non-fully supervised learning'
 'Prior publications in major computer vision (CVPR/ICCV/ECCV) or machine learning (NeurIPS, ICML/ICLR) conferences is a plus.']"
17,Electrical Engineer,Infinity Pte Ltd,"['Install, maintain and repair electrical control, wiring, and lighting systems.'
 'Read technical diagrams and blueprints.'
 'Perform general electrical maintenance.'
 'Inspect transformers and circuit breakers and other electrical components.'
 'Troubleshoot electrical issues using appropriate of testing devices.'
 'Repair and replace equipment, electrical wiring, or fixtures.'
 'Follow National Electrical Code state and local building regulations.'
 'Circuit breaker corrective maintenance.'
 'Good knowledge of heating and air conditioning systems.'
 'Evaluates electrical systems, products, components, and applications by designing and conducting research programs; applying knowledge of electricity and materials.'
 'Confirms system’s and components’ capabilities by designing testing methods; testing properties.'
 'Develops electrical products by studying customer requirements; researching and testing manufacturing and assembly methods and materials.'
 'Develops manufacturing processes by designing and modifying equipment for building and assembling electrical components; soliciting observations from operators.'
 'Assures product quality by designing electrical testing methods; testing finished products and system capabilities.'
 'Prepares product reports by collecting, analyzing, and summarizing information and trends.'
 'Provides engineering information by answering questions and requests.'
 'Maintains product and company reputation by complying with federal and state regulations.'
 'Keeps equipment operational by following manufacturer’s instructions and established procedures; requesting repair service.'
 'Maintains product data base by writing computer programs; entering data.'
 'Completes projects by training and guiding technicians.'
 'Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; participating in professional societies.'
 'Contributes to team effort by accomplishing related results as needed.']"
18,"Senior Executive, Human Resource & Admin",Lee Kim Tah (Pte) Ltd,"['Diploma/Degree in Human Resources or related discipline'
 'Good knowledge of prevailing MOM & CPF regulations'
 'Independent team player with the ability to multi-task'
 'Able to prioritize, work autonomously and manage time effectively'
 'Hands-on person who is proactive, driven, and resourceful'
 'Experience in F&B HR work, as well as Info-Tech HR system will be advantageous'
 'Bilingual in English and Mandarin is required'
 'Full-spectrum HR administrative function ie recruitment, payroll processing, compensation and benefits, performance & reward management, implementation of policies, staff discipline & conflict resolution and other HR-related function'
 'Full knowledge of work permit application and use of WPOL, EPOL, and MyMOM portal including monitoring of work permit quota'
 'Manage the complete on-boarding and off-boarding process for all hires and leavers including all administrative work ie employment contract, work permit management, medical claims, insurance matters, etc'
 'Responsible for payroll processing using the Company’s HRIS Info-Tech and prepare monthly payroll reports & reconciliations'
 'Maintain, update and ensure accuracy of all HR records, systems, internal policies and personnel file'
 'Design and implement a structured performance appraisal process and report on key team and individual performance indicators to achieve improved business performance'
 'Work with Senior Management and HODs to identify current and future learning and development needs and manage the process of training grants'
 'Strong communicator with the ability to act as advisor to Senior Management in all employee relation matters including disciplinary & grievance cases, and build strong relationship with staff'
 'Assist in market surveys from MOM and various HR-related surveys'
 'Assist in any other daily administrative duties to ensure the smooth running of office operations']"
19,Open Rank Faculty Positions in Information Systems (R00004057),Nanyang Technological University,"['Candidates for the Assistant Professor position should have some record of publication in top-tier journal, or evidence of a strong pipeline of papers under review at top-tier journals.'
 'Candidates for the Associate Professor position should have an established record of excellence in research and teaching.'
 'Candidates for the Full Professor position must demonstrate significant achievements in research and teaching and, in particular, the leadership impact of these scholastic achievements. They must have made substantial contributions to their profession and have international visibility.']"
20,Research Fellow (Computer Science/Information Systems) #SGUnitedJobs #RIE,NTU University,[]
21,,,[]
22,Laboratory Information Systems Officer/ Assistant Officer,M DIAGNOSTICS PTE. LTD.,"['Provide IT technical support for all laboratory systems.'
 'Support laboratory daily billing and test reconciliation for all lab interface.'
 'Support integration of LIS with internal or external labs and lab analytical instruments.'
 'Coordinate with lab user to setup and modify orders, reference labs, test rules, and test panels.'
 'Able to act on emergency incident and provide resolution of LIS problems in a timely manner.'
 'Maintain system upgrades or new system implementation.'
 'Work as a liaison between laboratory staff and desktop support to maintain computer equipment.'
 'Maintain laboratory records and documentation as required by laboratory procedures and clinical records retention policies.'
 'Bachelor’s degree in computer or Information Technology, Management Information Technology, Information Technology, Medical Technology or relevant discipline'
 'Preferable laboratory experience and LIS experience and application development in laboratory setting'
 'Candidate with working experience in local healthcare or laboratory as medical technologist will be advantageous'
 'Strong team player with positive work attitude, good communication and interpersonal skills'
 'Fresh graduates with relevant laboratory experience in the internship or coursework are welcome to apply']"
23,Management Information Systems (MIS) Executive #SGUnitedJobs,CITY DMC PTE. LTD.,[]
24,Information Technology Service Engineer,AZ Digital Pte Ltd,"['Installing Hardware and Software Systems.'
 'Provide Hardware and Software support.' 'Provide Training to End Users.'
 'On-site/in-house troubles shooting a variety of computer issues.'
 'Configuring Computer Networks.' 'Ad-hor duties as assigned.'
 'Basic IT knowledge in certificate in Information Technology.'
 'Require to travel island wide.'
 'Must be able to work under stress and independently.'
 'Good initiative, devisive, assertive, meticulour and determined.'
 'Able to speak English.' 'Class 3 driving licence.'
 'Experience in repair/installation of POS/Kiosk system as asset.']"
25,Senior Information Systems Engineer,RED HAT ASIA PACIFIC PTE LTD,"['Be responsible for vendor management'
 'Communicate with vendors and other IT teams to achieve problem resolution'
 'Coordinate troubleshooting of third-line issues in the communications room or with the physical network, video conferencing, and printing'
 'Proactively monitor the maintenance of all offices'
 'Manage hardware procurement related to office IT builds for office moves and expansions and ongoing maintenance of office infrastructure'
 'Serve as a key technical engineer for office projects, including new offices, moves, expansions, refits, and integrations of company acquisitions'
 'Provide feedback and contribute to new office build standards'
 'Be responsible for platform management to include video conference, digital signage, and print infrastructures'
 'Good written and verbal skills in English'
 'Effective communication skills with technical and non-technical audiences'
 'Commercial experience with IT communications room architecture, physical network cabling infrastructure, AV infrastructure, and printing tools'
 'Experience in IT industry withLinux background or multi-platform background including Mac and Windows and basic scripting knowledge'
 'High-level expertise in an IT hardware support role, working in a technical area and interacting with customers'
 'Proven record of experience working with external IT vendors and project execution'
 'Proficiency in Python programming language' 'Experience using REST APIs'
 'Experience developing in a Linux environment' 'Experience using Git']"
26,Middleware Developer (Information Systems),Flyscoot,[]
27,Information Systems Security Engineer,NCS,"['Leading in the development / adoption and enforcement of Information Security policies, procedures and standards. Conduct review in accordance with customer / statutory requirements.'
 'Define, create and maintain the documentation for certification and accreditation of each information system in accordance with customer / statutory requirements'
 'Risk analysis and management, documentation management and controls, information access controls and sanctions for failure to comply'
 'Ensure\xa0Personnel only have access to the sensitive information for which they have appropriate authority and clearance'
 'Assign security responsibilities, control access to media and the controls in place against unauthorized access to workstations and related equipment'
 'Set the access and authorization controls for everyday operations as well as emergency procedures for data'
 'Set the standards for access controls, audit trails, event reporting, encryption and integrity controls'
 'Maintain the Security Procedures\xa0 which include: Evaluation and compliance with security measures,\xa0Disaster Recovery and Emergency operating procedures,\xa0Security Incident Response and process protocols and\xa0testing of security procedures, mechanisms and measures'
 'Maintain\xa0appropriate security measures and mechanisms to guard against unauthorized access to electronically stored and /or transmitted data and protect against reasonably anticipated threats and hazards'
 'Perform asset management'
 'Review systems in order to identify potential security weaknesses, recommend improvements to amend vulnerabilities, implement changes and document upgrades.'
 'Oversee and\xa0assist in performing on-going security monitoring of organization information systems'
 'Ensure compliance through periodic internal & external\xa0security audits'
 'Assess the impacts on application, system modifications and technological advances'
 'Ensure compliance through adequate training programs '
 'Participate in incident management'
 'Degree in Computer Science or IT or equivalent'
 'At least 5 to 7 years of relevant experience '
 'Possess any security certification:\xa0 CCISSP, CISA, CISM, CGEIT, CCISO'
 'Experience in IT Audit, GRC and penetration testing'
 'Good interpersonal and communication skills']"
28,Lecturer - Business Information Systems #JobsThatMatter,Institute Of Technical Education (ITE),"['Enterprise Resource Management Systems, e.g. SAP, Oracle Applications, Microsoft Navision and etc.'
 'Network Infrastructure such as Cisco Routers and Switches'
 'Relational Database Management Systems, e.g. MySQL, Oracle and MS SQL.'
 'Application Development using languages such as Java, VB.NET and PHP'
 'System Administration and Virtualization, e.g. Windows Server, Solaris and Linux']"
29,Cybersecurity & Information Systems Security Consultant (INTERNSHIP),Panasonic Asia Pacific Pte Ltd,"['Review related threat intelligence and investigate on identified potential indicators of compromise (IOCs)'
 'Responsible for detecting, analysing and eliminating viruses and malicious code'
 'Responsible for security events or incidents information gathering and analysis'
 'Will examine and evaluate risks and consider appropriate measures for improvement, along with audit activity, based on ISO/IEC 27001:2013 framework'
 'Prompt reporting, conduct investigation and drawing corrective actions for ISM incidents'
 'Assist the ISM manager to evaluate risk and improvement controls in the company'
 'Understanding of common cyber attack techniques and methods, common types of malware, network protocols, OSI layers, OS internals (primarily Windows, but Linux & macOS is a plus) '
 'Basic knowledge on Public Cloud Security (AWS, Azure, GCB) '
 'Flexibility and abilities to learn new thing/skills fast. ']"
30,Network Support Engineer,Greypanel,[]
31,"Assistant Manager, Information Technology (Microsoft 365 System Administration & Desktop Support Focus)",Lee Kim Tah (Pte) Ltd,"['Completed or close to completing relevant Microsoft certifications '
 'Diploma or degree in Information Technology, Computer Studies or a related field '
 ""At least 5 years' work experience in IT/IT support with minimum 3 years in a Microsoft 365 Engineering/Admin role ""
 'Knowledge and experience in administering and supporting Microsoft Windows 10'
 'Knowledge and experience in admiand supporting Microsoft 365, Exchange Online, Teams and other Office 365 tools '
 'Knowledge and experience in administering and supporting SharePoint Online '
 'Knowledge and experience in administering and supporting Microsoft Dynamics 365 and Business Central '
 'Strong team player with good oral and written communication and interpersonal skills '
 ""Manage and monitor desktop and mobile computing devices, computer networks, messaging, telephony, security and other aspects of the Group's IT infrastructure.""
 'Install and configure computer hardware and software.'
 'Champion the adoption of Microsoft 365 services to all end users.'
 'Support the ongoing implementation, operation and expansion of cloud-based solutions and applications (eg Microsoft Office 365 applications, SharePoint, Teams, OneDrive) and the migration of existing server-based applications to the cloud.'
 'Maintain familiarity with Microsoft 365 / Office 365 tools and train end-users on their effective use for productivity and collaboration.'
 'Administer Microsoft 365 and other software licenses.'
 'Deploy, manage and maintain backup and recovery across the Group.'
 'Tracking and escalation of incidents with Microsoft and Microsoft Partner/Solution Provider technical support.'
 'Work with IT vendors and resellers on projects and contracts renewal.'
 'Propose new / enhanced IT solutions to address Group and user needs.'
 'Provide technical support across the Group on all IT related issues.']"
